Storekey,Country,City,Total_Sales
8,Canada,Toronto,72255.5898668766
9,Canada,Toronto,67787.4301020801
0,Canada,Toronto,61488.82985973358
55,United States,Las Vegas,50933.48951482773
10,Canada,Toronto,50519.78960943222
0,United States,New York,49092.94981908798
64,United States,Washington,44649.91980886459
9,Canada,Montreal,43943.350174188614
0,United States,Los Angeles,38776.91977572441
0,United States,Portland,38013.410215616226
44,United States,Little Rock,37360.05993723869
55,United States,Reno,33659.889491558075
9,Canada,Ottawa,33370.209748506546
0,United States,Houston,31324.809893846512
8,Canada,Montreal,30419.039942741394
9,Canada,Calgary,30072.379836559296
59,United States,Portland,29034.98011279106
57,United States,Albuquerque,26944.1199259758
59,United States,Eugene,26690.670040369034
61,United States,Columbia,26525.57988500595
8,Canada,Vancouver,25515.640085220337
8,Canada,Calgary,25062.349848270416
61,United States,Greenville,25029.750188827515
50,United States,Philadelphia,24907.26994562149
0,Canada,Calgary,24731.390104055405
0,United States,Chicago,24382.780072927475
0,United States,Philadelphia,24032.78003025055
0,United States,Dallas,23881.839813232422
45,United States,Hartford,22701.920431137085
0,United States,Southfield,22341.89974308014
0,Canada,Montreal,21908.85008406639
50,United States,Wichita,21395.619915008545
0,United States,Pittsburgh,21174.940021514893
54,United States,Lincoln,20762.939737796783
0,Canada,Victoria,19759.0296998024
0,United States,Jackson,19673.719945907593
54,United States,Omaha,19526.359958410263
63,United States,Salt Lake City,19522.959855556488
9,Canada,Vancouver,19227.46022081375
0,United States,Providence,19152.659852027893
0,United States,Oakland,19100.68999314308
10,Canada,Montreal,19085.009787797928
10,Canada,Ottawa,19055.119963645935
10,Canada,Vancouver,18741.669810533524
0,United States,Saint Louis,18301.590005397797
45,United States,New Haven,17969.080174446106
0,United States,Phoenix,17936.51994204521
0,United States,Indianapolis,17456.520243644714
57,United States,Chicago,16027.829731941223
64,United States,Los Angeles,15928.350014686584
64,United States,New York,15863.90976190567
0,Canada,Ottawa,15745.930076122284
9,Canada,Quebec,15377.969789028168
65,United States,Wheeling,15065.00005030632
0,United States,Austin,15013.07983469963
0,United States,Toledo,14951.049845933914
10,Canada,Edmonton,14929.509927272797
53,United States,Lacassine,14581.619616031647
0,United States,Fort Lauderdale,14565.599688529968
0,United States,Baltimore,14496.410051584244
0,United States,Montgomery,14385.460102081299
0,United States,Albany,14330.529877185822
0,United States,Memphis,14171.589862585068
0,United States,Charlotte,14159.129906892776
55,United States,Los Angeles,14119.469686508179
0,United States,Madison,13999.360212564468
66,United States,Los Angeles,13899.529828548431
45,United States,Bloomfield,13652.21019411087
24,Germany,Rantum,13626.899827957153
0,Germany,Lütjenwestedt,13560.04997253418
0,United States,Las Vegas,13481.789866447449
0,United States,Miami,13452.299963235855
61,United States,New York,13394.759685516357
57,United States,New York,13364.760039329529
0,United States,Richmond,13241.829859733582
0,United States,Tampa,13191.709966659546
61,United States,Florence,13078.680108070374
8,Canada,Edmonton,13025.90982246399
44,United States,Pine Bluff,13003.909982681274
8,Canada,Ottawa,12917.799924135208
65,United States,Charleston,12912.899887084961
0,United States,Little Rock,12883.479880571365
66,United States,Anaheim,12872.859903335571
53,United States,Houston,12799.039965629578
8,Canada,Quebec,12782.129827022552
0,Canada,Saskatoon,12699.219624519348
51,United States,Portland,12615.04008769989
10,Canada,Winnipeg,12594.090132713318
62,United States,Hosmer,12571.849926948547
0,United States,Corpus Christi,12539.700113534927
57,United States,Atlanta,12463.659857749939
66,United States,Dallas,12463.269888401031
0,United States,Cleveland,12035.47993016243
0,United States,Fresno,11919.610168457031
10,Canada,Quebec,11916.529997348785
55,United States,Philadelphia,11897.319694519043
66,United States,Chicago,11870.070043087006
59,United States,Dallas,11813.749711990356
30,Italy,Orgosolo,11806.640147209167
66,United States,Mountain View,11786.139915466309
44,United States,Springdale,11780.61001586914
61,United States,Conway,11763.579756736755
0,United States,Atlanta,11760.82006406784
9,Canada,Edmonton,11759.30993270874
44,United States,Fort Smith,11713.280062198639
0,United States,Orlando,11712.990127712488
49,United States,Dubuque,11626.370042800903
53,United States,Miami,11624.209930419922
0,United States,San Francisco,11572.700026988983
50,United States,Houston,11512.299804210663
8,Canada,Merrickville,11502.619703292847
45,United States,Norwalk,11451.719893455505
65,United States,New York,11450.750094890594
0,United States,Grand Rapids,11329.62994503975
57,United States,Los Angeles,11302.24007320404
47,United States,Atlanta,11289.019906520844
53,United States,Southfield,11286.45026922226
48,United States,Boise,11273.909850597382
8,Canada,Victoria,11233.469928503036
61,United States,Philadelphia,11223.97002363205
63,United States,New York,11157.300251960754
55,United States,Orlando,11144.200086593628
61,United States,Piedmont,11061.70006942749
47,United States,Honolulu,11046.179922580719
65,United States,Houston,11015.409833669662
0,United States,Woburn,11009.419868469238
0,Netherlands,Rotterdam,10964.8099193573
54,United States,Grand Island,10915.639828205109
65,United States,Sacramento,10829.13976097107
0,United States,Denver,10797.959938287735
56,United States,Manchester,10692.040010929108
0,United States,Cincinnati,10672.299916267395
0,United States,Florence,10633.119742393494
48,United States,Pottsville,10628.409706115723
0,United States,Jacksonville,10627.250079154968
53,United States,Philadelphia,10607.129802465439
47,United States,Wahiawa,10588.05004119873
56,United States,Columbus,10571.979722976685
66,United States,Cheyenne,10561.439803600311
64,United States,Chicago,10560.559949874878
32,Netherlands,Sassenheim,10470.68994140625
53,United States,New York,10469.149915218353
27,Germany,Düsseldorf Golzheim,10400.199829101562
0,United States,Columbus,10399.300196647644
22,Germany,Merzig,10387.110064029694
65,United States,Pensacola,10380.360060214996
50,United States,Brewster,10374.150055408478
0,United States,Norcross,10300.189872264862
49,United States,Los Angeles,10300.009956359863
9,Canada,Brantford,10264.86974143982
0,Australia,BANDYA,10257.829789161682
55,United States,Phoenix,10223.66979598999
64,United States,Columbus,10186.260115146637
0,United States,Minneapolis,10145.70987701416
0,United States,San Jose,10143.099920034409
65,United States,Chicago,10142.999853134155
5,Australia,SEVILLE,10140.460079193115
61,United States,Houston,10126.889955043793
53,United States,Akron,10119.139896392822
56,United States,Miami,10039.390015602112
54,United States,Plano,10008.260091781616
34,Netherlands,Uithoorn,9989.660257339478
43,United States,Los Angeles,9963.330071926117
33,Netherlands,Abcoude,9952.230045318604
56,United States,Bon Wier,9927.810214996338
48,United States,Los Angeles,9871.65997838974
30,Italy,Marmora,9800.63007736206
65,United States,Anaheim,9758.060159683228
0,United States,Lexington,9740.739977121353
24,Germany,Kreimbach-Kaulbach,9690.970069885254
50,United States,Hays,9664.170100688934
57,United States,Winston Salem,9663.899748802185
5,Australia,METUNG,9635.700073242188
37,United Kingdom,REDNAL,9607.21981716156
