Product Name,total_quantity_sold,total_revenue
Proseware Wall Lamp E0215 Blue,1,119.98999786376953
Adventure Works Chandelier M8150 Silver,1,268.5
Adventure Works Desk Lamp E1300 Black,1,79.94999694824219
WWI Floor Lamp M215 Grey,1,339.0
WWI Wall Lamp E315 White,1,101.98999786376953
Proseware Chandelier M0815 Black,1,268.5
WWI Floor Lamp X115 Blue,1,635.989990234375
Adventure Works Chandelier M8150 Black,1,268.5
"Litware 16"" White Oscillating Stand Fan E701 White",1,29.09000015258789
Proseware Floor Lamp X0115 Blue,1,635.989990234375
Litware Home Theater System 5.1 Channel M511 Black,2,1398.0
Contoso Air conditioner 25000BTU L1672 Blue,2,1271.97998046875
WWI Chandelier M615 Black,2,459.9800109863281
WWI Chandelier M815 Black,2,537.0
Adventure Works Floor Lamp X1150 Blue,2,1271.97998046875
Proseware Desk Lamp E0130 Blue,2,159.89999389648438
Litware 80mm LED Dual PCI Slot Fan E1501 Blue,2,61.97999954223633
Proseware Air conditioner 12000BTU M640 Red,2,919.97998046875
Litware 18'' Oscillating Pedestal Fan M145 Blue,2,800.0
Proseware Chandelier M0615 Silver,2,459.9800109863281
Adventure Works Chandelier M8150 White,2,537.0
Contoso Home Theater System 5.1 Channel M1530 Black,2,798.0
WWI Chandelier M615 White,2,459.9800109863281
Litware Wall Lamp E3015 Silver,2,203.97999572753906
Contoso Home Theater System 4.1 Channel M1400 White,2,818.0
Litware Wall Lamp E2015 Grey,2,239.97999572753906
Litware Home Theater System 7.1 Channel M710 Brown,2,1598.0
Proseware Desk Lamp E0120 Blue,2,59.97999954223633
Contoso Air conditioner 6000BTU E0180 Grey,3,599.9700164794922
Litware Chandelier M8015 Grey,3,805.5
Proseware Desk Lamp E0130 Grey,3,239.84999084472656
WWI Desk Lamp E120 Silver,3,89.96999931335449
Litware 120mm Blue LED Case Fan E901 Black,3,29.969999313354492
Contoso Home Theater System 2.1 Channel E1220 White,3,597.0
Contoso Home Theater System 5.1 Channel M1520 Black,3,1017.0
Proseware Air conditioner 25000BTU L167 Red,3,1907.969970703125
Litware Home Theater System 2.1 Channel E211 Brown,3,809.6999816894531
Litware Desk Lamp E1020 White,3,89.96999931335449
Litware Floor Lamp X1015 Black,3,1907.969970703125
WWI Desk Lamp E120 Black,3,89.96999931335449
Contoso Home Theater System 2.1 Channel E1200 Black,3,897.0
Adventure Works Chandelier M6150 White,3,689.9700164794922
Litware Chandelier M6015 White,3,689.9700164794922
Litware Home Theater System 5.1 Channel M514 Silver,3,1797.0
Litware Home Theater System 2.1 Channel E212 Black,3,899.6999816894531
