Productkey,Currency code,Quantity_Sold,Revenue
444,USD,329,302351.0
433,USD,272,263568.0
422,USD,267,258723.0
455,USD,259,238021.0
428,USD,240,232560.0
416,USD,237,229653.0
438,USD,234,215046.0
147,USD,70,202999.29931640625
146,USD,69,200099.30932617188
450,USD,210,192990.0
434,USD,310,185690.0
145,EUR,61,176899.38940429688
148,USD,58,168199.41943359375
417,USD,244,146156.0
451,USD,256,143104.0
423,USD,234,140166.0
456,USD,239,133601.0
1927,USD,41,131199.58959960938
432,USD,254,126974.59844970703
439,USD,222,124098.0
2085,USD,84,123900.0
420,USD,247,123475.29849243164
161,USD,77,122599.39624023438
421,USD,259,121471.0
429,USD,197,118180.30480957031
147,EUR,40,115999.599609375
427,USD,246,115374.0
600,USD,44,109956.0
2110,USD,74,109150.0
425,USD,294,108486.0
437,USD,216,107978.39868164062
419,USD,291,107379.0
145,USD,37,107299.62963867188
426,USD,214,106978.59869384766
164,USD,67,106677.39672851562
444,EUR,116,106604.0
445,USD,185,103415.0
416,EUR,106,102714.0
539,USD,44,100980.0
576,USD,40,99960.0
540,USD,40,99960.0
450,EUR,108,99252.0
634,USD,39,97461.0
2095,USD,66,97350.0
2100,USD,66,97350.0
1897,USD,30,95999.69970703125
428,EUR,98,94962.0
455,EUR,103,94657.0
436,USD,252,92988.0
2091,USD,102,89505.0
622,USD,39,89505.0
2086,USD,102,89505.0
599,USD,39,89505.0
449,USD,256,89344.0
422,EUR,92,89148.0
1206,USD,57,88920.0
2106,USD,101,88627.5
623,USD,35,87465.0
443,USD,247,86203.0
423,EUR,142,85058.0
157,USD,77,84699.22924804688
2096,USD,96,84240.0
163,USD,52,82794.3974609375
160,USD,74,81399.25927734375
460,USD,261,78273.89840698242
2105,USD,53,78175.0
162,USD,49,78017.79760742188
1951,USD,24,76799.759765625
418,USD,283,76395.85345458984
424,USD,282,76125.90344238281
587,USD,33,75735.0
2095,EUR,51,75225.0
2092,USD,95,75145.0
612,USD,30,74970.0
448,USD,276,74492.39831542969
551,USD,32,73440.0
431,USD,199,73431.0
148,EUR,25,72499.74975585938
438,EUR,78,71682.0
416,GBP,73,70737.0
428,GBP,73,70737.0
1909,USD,22,70399.77978515625
442,USD,260,70173.99841308594
2105,EUR,47,69325.0
1443,USD,116,68324.0
2090,USD,46,67850.0
146,EUR,23,66699.76977539062
452,USD,303,66644.84907531738
1426,USD,113,66557.0
2102,USD,84,66444.0
450,GBP,72,66168.0
158,USD,60,65999.3994140625
